id,nameKey,icon,rarity,types,baseValue,bondID,weight,effect,effectType,effectParams,descriptionKey
1,child,symbol_01.png,normal,human;childish,2,,1000,如果已拥有符号池里每有一个除'儿童'之外的#childish，则额外获得金币+2,count_bonus,"{""countType"": ""childish"", ""bonusPerCount"": 2, ""excludeSelf"": true}",child
2,merchant,symbol_02.png,normal,human;trading,2,1,1000,挖起时消除1个勾玉或硬币，额外获得30金币,eliminate_trading_symbol_bonus,"{""targetSymbols"": [""勾玉"", ""硬币""], ""bonus"": 30}",merchant
3,barbarian,symbol_03.png,rare,human;worship,3,,800,符号池里每拥有一个#alien，金币-1，每拥有一个#monster，金币+1,mixed_count_bonus,"{""bonuses"": [{""countType"": ""alien"", ""bonusPerCount"": -1}, {""countType"": ""monster"", ""bonusPerCount"": 1}]}",barbarian
4,farmer,symbol_04.png,rare,human;classic tale,3,,800,每拥有一个type含#tool 的符号，金币+2,count_bonus,"{""countType"": ""tool"", ""bonusPerCount"": 2}",farmer
5,soldier,symbol_05.png,rare,human;classic tale,5,,300,如果'圣骑士'即将被其他符号消除，自动消除自身取消一次对'圣骑士'符号的消除,protect_symbol,{"protectSymbol": "圣骑士"},soldier
6,village_chief,symbol_06.png,normal,human;worship,2,,1000,符号池里每有一个#human，金币+1,count_bonus,"{""countType"": ""human"", ""bonusPerCount"": 1}",village_chief
7,forest_fairy,symbol_07.png,rare,elf;forest,3,,800,消除符号池里所有'暗月妖精'，获得100金币,eliminate_multiple,"{""targetSymbols"": [""暗月妖精""], ""bonus"": 100}",forest_fairy
8,dark_moon_fairy,symbol_08.png,rare,elf;forest,3,,800,消除符号池里所有'星光妖精'，获得100金币,eliminate_multiple,"{""targetSymbols"": [""星光妖精""], ""bonus"": 100}",dark_moon_fairy
9,starlight_fairy,symbol_09.png,rare,elf;forest,3,,800,消除符号池里所有'森林妖精'，获得100金币,eliminate_multiple,"{""targetSymbols"": [""森林妖精""], ""bonus"": 100}",starlight_fairy
10,healer,symbol_10.png,normal,human;live or dead,2,,1000,抵消符号池里一个type1或type2包含'monster'的符号的每回合扣金币负面效果,cure_negative_effect,{"targetType": "monster"},healer
11,paladin,symbol_11.png,epic,human;live or dead,3,,800,如果和type含 #monster的符号一起被挖起，消除一个type 含#monster 类型的符号，获得50金币,eliminate_bonus,"{""eliminateType"": ""monster"", ""bonus"": 50}",paladin
12,nun,symbol_12.png,normal,human;vampire note,2,6,1000,如果本次挖出中有type1或type2包含'monster'的符号，且该怪物没有被其他效果消除，额外获得5金币,conditional_bonus,"{""condition"": ""monster_not_eliminated"", ""bonus"": 5}",nun
13,ancient_tree_elder,symbol_13.png,rare,monster;forest,3,,800,生成一个'土元素'到符号池,spawn_specific,{"symbol": "土元素"},ancient_tree_elder
14,thief,symbol_14.png,normal,human;classic tale,2,,1000,如果本次挖出中有'商人'，自身baseValue翻倍,conditional_multiplier,"{""triggerSymbol"": ""商人"", ""multiplier"": 2}",thief
15,princess,symbol_15.png,rare,human;classic tale,3,,800,本次挖出中所有type1或type2包含'human'的符号的baseValue翻倍,group_multiplier,"{""targetType"": ""human"", ""multiplier"": 2}",princess
16,vampire,symbol_16.png,epic,monster;vampire note,5,2;7,300,如果存在于符号池，每回合开始时减少50金币（回合开始时触发）,round_start_penalty,{"penalty": 50},vampire
